group,net_id,tde,gradient1,gradient2,gradient3,network,himoshpere,node
MDD,7Networks_LH_Limbic_OFC_3,-0.016813,-15.873756691369074,-9.843385866576538,0.3245069958442278,limbic,LH,Limbic_OFC_3
MDD,7Networks_LH_Limbic_OFC_4,-0.19809,-15.732896053310629,-7.406907206133393,1.0108341122699909,limbic,LH,Limbic_OFC_4
MDD,7Networks_LH_Limbic_OFC_5,0.11331,-18.499178768947456,-12.233398811063982,-0.06090628714489491,limbic,LH,Limbic_OFC_5
MDD,7Networks_LH_Limbic_TempPole_1,-0.069805,-13.278957310006733,-8.48238286010984,0.9533771482975738,limbic,LH,Limbic_TempPole_1
MDD,7Networks_LH_Limbic_TempPole_2,-0.011875,-13.786706277042052,-6.287459814775226,1.3097069031605666,limbic,LH,Limbic_TempPole_2
MDD,7Networks_LH_Limbic_TempPole_3,-0.017505,-14.323955231399527,-2.7507902079907143,0.6430105582238701,limbic,LH,Limbic_TempPole_3
MDD,7Networks_LH_Limbic_TempPole_4,-0.069649,-15.929076817700572,-13.569478175744043,0.46982524223138844,limbic,LH,Limbic_TempPole_4
MDD,7Networks_LH_Limbic_TempPole_5,-0.057326,-13.461558545577962,-3.0617111814252214,0.010812551384396185,limbic,LH,Limbic_TempPole_5
MDD,7Networks_LH_Limbic_TempPole_6,-0.0091494,-14.032217843931319,-10.02709289727993,1.654419461179098,limbic,LH,Limbic_TempPole_6
MDD,7Networks_LH_Limbic_TempPole_7,-0.036918,-11.767654340189784,-8.543011987848477,2.1107013113413804,limbic,LH,Limbic_TempPole_7
MDD,7Networks_LH_Limbic_TempPole_8,-0.005358,-15.931628064985272,-3.3037561565637725,1.2768960736401849,limbic,LH,Limbic_TempPole_8
MDD,7Networks_LH_Cont_Par_1,0.0013303,-7.121655967101909,7.100580766589822,-3.9001468034385267,control,LH,Cont_Par_1
MDD,7Networks_LH_Cont_Par_2,-0.020454,4.75567605093164,-2.5746053405184637,-3.560181552851358,control,LH,Cont_Par_2
MDD,7Networks_LH_Cont_Par_3,-0.090038000000000007,-6.777298660656547,-6.484660423966035,-4.850334148231068,control,LH,Cont_Par_3
